Component,Use Case,Source,Threat,Risk response,Inherent Risk,Current Risk,Countermeasure Progress,Weakness Tests,Countermeasure Tests,Projected Risk,Owner
API gateway,Authentication and Authorization,Created by rules engine,Authentication Bypass,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
API gateway,Logging and Monitoring,Created by rules engine,Exploitation of insufficient logging and monitoring,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Catalog DB,Access service,Created by rules engine,Attackers gain access to unauthorised data by exploiting vulnerabilities in the service,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Catalog DB,Access service,Created by rules engine,Authentication Bypass,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Catalog DB,Access service,Created by rules engine,Data leakage or disclosure to unauthorized parties,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Catalog DB,Authentication,Created by rules engine,Attackers who compromise the application or application server could directly access and modify the data store,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Catalog Service,Access sensitive data,Created by rules engine,Sensitive data is exposed through weak security configurations,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Catalog Service,Authentication and Authorization,Created by rules engine,Attackers use known cloud vulnerabilities to access unauthorized data,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Catalog Service,Deployment,Created by rules engine,Excessive Allocation,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Catalog Service,General,Created by rules engine,Attackers compromise images by modifying their content,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Catalog Service,General,Created by rules engine,Attackers gain access to the sensitive data through injecting code in the repositories,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Catalog Service,General,Created by rules engine,Availability is compromised through attacks against scalability configuration,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Catalog Service,General,Created by rules engine,Sensitive data is compromised by unauthorized access to container volumes,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Catalog Service,Logging and Monitoring,Created by rules engine,Exploitation of insufficient logging and monitoring,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Catalog Service,Networking,Created by rules engine,Sensitive data is compromised through network access,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Catalog Service,Read or Post data,Created by dataflow rules engine,Attackers gain unauthorised access to data and/or systems through SQL Injection attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Delivery DB,Access service,Created by rules engine,Attackers gain access to unauthorised data by exploiting vulnerabilities in the service,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Delivery DB,Access service,Created by rules engine,Authentication Bypass,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Delivery DB,Access service,Created by rules engine,Data leakage or disclosure to unauthorized parties,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Delivery DB,Authentication,Created by rules engine,Attackers who compromise the application or application server could directly access and modify the data store,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Delivery Service,Access sensitive data,Created by rules engine,Sensitive data is exposed through weak security configurations,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Delivery Service,Authentication and Authorization,Created by rules engine,Attackers use known cloud vulnerabilities to access unauthorized data,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Delivery Service,Deployment,Created by rules engine,Excessive Allocation,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Delivery Service,General,Created by rules engine,Attackers compromise images by modifying their content,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Delivery Service,General,Created by rules engine,Attackers gain access to the sensitive data through injecting code in the repositories,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Delivery Service,General,Created by rules engine,Availability is compromised through attacks against scalability configuration,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Delivery Service,General,Created by rules engine,Sensitive data is compromised by unauthorized access to container volumes,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Delivery Service,Logging and Monitoring,Created by rules engine,Exploitation of insufficient logging and monitoring,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Delivery Service,Networking,Created by rules engine,Sensitive data is compromised through network access,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Delivery Service,Read or Post data,Created by dataflow rules engine,Attackers gain unauthorised access to data and/or systems through SQL Injection attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Desktop Frontend,General,Created by rules engine,An adversary embeds malicious scripts in content that will be served to web browsers,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Desktop Frontend,General,Created by rules engine,Application contains security vulnerabilities not identified during the development process,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Desktop Frontend,General,Created by rules engine,Attackers gain unauthorised access to data by compromising third party web resources,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Desktop Frontend,General,Created by rules engine,Attackers gain unauthorised access to data or services by accessing a client side secret,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Desktop Frontend,General,Created by rules engine,Attackers gain unauthorised access to the application by the use of deprecated client-side technologies,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Desktop Frontend,Read or Post data,Created by rules engine,An adversary embeds malicious scripts in content that will be served to web browsers,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Desktop Frontend,Read or Post data,Created by rules engine,Attackers could gain access to sensitive data through a man in the middle attack,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Desktop Frontend,Read or Post data,Created by rules engine,Privilege Abuse,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Desktop Frontend,Transaction Authentication,Created by rules engine,Attackers cause users to peform arbitrary clicks on the site through ClickJacking attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
E-mail Notifications,Access sensitive data,Created by rules engine,Sensitive data is exposed through weak security configurations,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
E-mail Notifications,Authentication and Authorization,Created by rules engine,Attackers use known cloud vulnerabilities to access unauthorized data,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
E-mail Notifications,Deployment,Created by rules engine,Excessive Allocation,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
E-mail Notifications,General,Created by rules engine,Attackers compromise images by modifying their content,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
E-mail Notifications,General,Created by rules engine,Attackers gain access to the sensitive data through injecting code in the repositories,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
E-mail Notifications,General,Created by rules engine,Availability is compromised through attacks against scalability configuration,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
E-mail Notifications,General,Created by rules engine,Sensitive data is compromised by unauthorized access to container volumes,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
E-mail Notifications,Logging and Monitoring,Created by rules engine,Exploitation of insufficient logging and monitoring,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
E-mail Notifications,Networking,Created by rules engine,Sensitive data is compromised through network access,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Login DB,Access service,Created by rules engine,Attackers gain access to unauthorised data by exploiting vulnerabilities in the service,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Login DB,Access service,Created by rules engine,Authentication Bypass,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Login DB,Access service,Created by rules engine,Data leakage or disclosure to unauthorized parties,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Login DB,Authentication,Created by rules engine,Attackers who compromise the application or application server could directly access and modify the data store,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Login Service,Access sensitive data,Created by rules engine,Sensitive data is exposed through weak security configurations,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Login Service,Authentication and Authorization,Created by rules engine,Attackers use known cloud vulnerabilities to access unauthorized data,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
Login Service,Deployment,Created by rules engine,Excessive Allocation,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond
Login Service,General,Created by rules engine,Attackers compromise images by modifying their content,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond
