,Component,Use Case,Source,Threat,Risk response,Inherent Risk,Current Risk,Countermeasure Progress,Weakness Tests,Countermeasure Tests,Projected Risk,Owner,Threat abbv
0,API gateway,Authentication and Authorization,Created by rules engine,Authentication Bypass,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond,Authentication Bypass
1,API gateway,Logging and Monitoring,Created by rules engine,Exploitation of insufficient logging and monitoring,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond,Insufficient Logging
2,Catalog DB,Access service,Created by rules engine,Attackers gain access to unauthorised data by exploiting vulnerabilities in the service,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond,Unauthorized Data Access
3,Catalog DB,Access service,Created by rules engine,Authentication Bypass,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond,Authentication Bypass
4,Catalog DB,Access service,Created by rules engine,Data leakage or disclosure to unauthorized parties,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond,Data Leakage
5,Catalog DB,Authentication,Created by rules engine,Attackers who compromise the application or application server could directly access and modify the data store,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond,App Data Manipulation
6,Catalog Service,Access sensitive data,Created by rules engine,Sensitive data is exposed through weak security configurations,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond,Weak Security Config
7,Catalog Service,Authentication and Authorization,Created by rules engine,Attackers use known cloud vulnerabilities to access unauthorized data,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond,Cloud Vulnerability
8,Catalog Service,Deployment,Created by rules engine,Excessive Allocation,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond,Excessive Allocation
9,Catalog Service,General,Created by rules engine,Attackers compromise images by modifying their content,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond,Image Tampering
