Component,Use Case,Source,Threat,Risk response,Inherent Risk,Current Risk,Countermeasure Progress,Weakness Tests,Countermeasure Tests,Projected Risk,Owner
API Endpoint,General,Created by rules engine,An attacker can inspect the HTTP responses using a proxy to access to sensitive information that is not directly visible in the client application,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
API Endpoint,General,Created by rules engine,An attacker exploits a weakness in the configuration of access controls and is able to bypass the intended protection that these measures guard against and thereby obtain unauthorized access to the application,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
API Endpoint,General,Created by rules engine,Attackers gain access to the system and are not detected,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
API Endpoint,General,Created by rules engine,Attackers gain unauthorized access to data and/or systems through Injection attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
API Endpoint,General,Created by rules engine,Excessive Allocation,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
API Endpoint,Read or Post data,Created by dataflow rules engine,Attackers gain unauthorised access to data and/or systems through SQL Injection attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Desktop Frontend,General,Created by rules engine,An adversary embeds malicious scripts in content that will be served to web browsers,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Desktop Frontend,General,Created by rules engine,Application contains security vulnerabilities not identified during the development process,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Desktop Frontend,General,Created by rules engine,Attackers gain unauthorised access to data by compromising third party web resources,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Desktop Frontend,General,Created by rules engine,Attackers gain unauthorised access to data or services by accessing a client side secret,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Desktop Frontend,General,Created by rules engine,Attackers gain unauthorised access to the application by the use of deprecated client-side technologies,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Desktop Frontend,Read or Post data,Created by rules engine,An adversary embeds malicious scripts in content that will be served to web browsers,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Desktop Frontend,Read or Post data,Created by rules engine,Attackers could gain access to sensitive data through a man in the middle attack,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Desktop Frontend,Read or Post data,Created by rules engine,Privilege Abuse,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Desktop Frontend,Transaction Authentication,Created by rules engine,Attackers cause users to peform arbitrary clicks on the site through ClickJacking attacks,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Load Balancer,Logging and Monitoring,Created by rules engine,Attackers gain access to the system and are not detected,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Load Balancer,Networking,Created by rules engine,Attackers gain control of the connection through a Man In The Middle attack,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,123 123
Mobile Device Client,General,Created by rules engine,An attacker attempts to invoke all common switches and options to discover weaknesses,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Mobile Device Client,General,Created by rules engine,Application contains security vulnerabilities not identified during the development process,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Mobile Device Client,General,Created by rules engine,Attacker gains access to sensitive data by modifying the application's expected behavior,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Mobile Device Client,General,Created by rules engine,Users lose trust in the application because it requests unnecessary privileges,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Mobile Device Client,Provide mobile access to services,Created by rules engine,Accessing Functionality Not Properly Constrained by ACLs,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Mobile Device Client,Provide mobile access to services,Created by rules engine,Attackers gain access to the data through the WebView functionality,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
Mobile Device Client,Provide mobile access to services,Created by rules engine,Attackers gain unauthorised access to the application through an error handling flaw,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,123 123
